X10_NTHREADS:4
X10_NPLACES:1
Place(0) running on 4693@Archlinux, finishCount:0, totalCount:40000
working...(11,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(11,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(11,5), at Place(0), workerId:5, result:0, cost time:0ms
working...(11,6), at Place(0), workerId:5, result:0, cost time:0ms
working...(11,7), at Place(0), workerId:5, result:0, cost time:0ms
working...(5,9), at Place(0), workerId:3, result:4, cost time:0ms
working...(11,8), at Place(0), workerId:5, result:0, cost time:0ms
working...(4,9), at Place(0), workerId:1, result:5, cost time:0ms
working...(11,9), at Place(0), workerId:5, result:0, cost time:0ms
working...(11,10), at Place(0), workerId:5, result:0, cost time:0ms
working...(9,10), at Place(0), workerId:3, result:0, cost time:0ms
working...(11,11), at Place(0), workerId:5, result:0, cost time:0ms
working...(12,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(12,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,10), at Place(0), workerId:1, result:2, cost time:0ms
working...(3,8), at Place(0), workerId:3, result:3, cost time:0ms
working...(12,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(12,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(2,7), at Place(0), workerId:3, result:5, cost time:0ms
working...(12,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(10,11), at Place(0), workerId:6, result:1, cost time:0ms
working...(12,5), at Place(0), workerId:5, result:0, cost time:0ms
working...(12,6), at Place(0), workerId:5, result:0, cost time:0ms
working...(12,7), at Place(0), workerId:5, result:0, cost time:0ms
working...(12,8), at Place(0), workerId:5, result:0, cost time:0ms
working...(12,9), at Place(0), workerId:5, result:0, cost time:0ms
working...(12,10), at Place(0), workerId:5, result:0, cost time:0ms
working...(7,10), at Place(0), workerId:3, result:3, cost time:1ms
working...(12,11), at Place(0), workerId:5, result:0, cost time:0ms
working...(6,10), at Place(0), workerId:1, result:4, cost time:0ms
working...(3,9), at Place(0), workerId:3, result:6, cost time:0ms
working...(12,12), at Place(0), workerId:5, result:0, cost time:0ms
working...(5,10), at Place(0), workerId:6, result:5, cost time:0ms
working...(9,11), at Place(0), workerId:3, result:2, cost time:0ms
working...(13,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(13,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(13,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(13,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(2,8), at Place(0), workerId:3, result:6, cost time:0ms
working...(11,12), at Place(0), workerId:1, result:1, cost time:0ms
working...(13,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(2,9), at Place(0), workerId:6, result:7, cost time:0ms
working...(13,5), at Place(0), workerId:5, result:0, cost time:0ms
working...(1,7), at Place(0), workerId:3, result:4, cost time:0ms
working...(4,10), at Place(0), workerId:1, result:6, cost time:0ms
working...(13,6), at Place(0), workerId:5, result:0, cost time:0ms
working...(10,12), at Place(0), workerId:6, result:0, cost time:0ms
working...(13,7), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,11), at Place(0), workerId:1, result:3, cost time:0ms
working...(13,8), at Place(0), workerId:5, result:0, cost time:0ms
working...(1,8), at Place(0), workerId:6, result:7, cost time:0ms
working...(13,9), at Place(0), workerId:5, result:0, cost time:0ms
working...(13,10), at Place(0), workerId:5, result:0, cost time:0ms
working...(0,7), at Place(0), workerId:6, result:3, cost time:0ms
working...(13,11), at Place(0), workerId:5, result:0, cost time:0ms
working...(3,10), at Place(0), workerId:6, result:7, cost time:0ms
working...(13,12), at Place(0), workerId:5, result:0, cost time:0ms
working...(13,13), at Place(0), workerId:5, result:0, cost time:0ms
working...(14,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(14,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(14,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(12,13), at Place(0), workerId:3, result:1, cost time:0ms
working...(9,12), at Place(0), workerId:1, result:1, cost time:0ms
working...(14,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,12), at Place(0), workerId:6, result:4, cost time:0ms
working...(14,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(7,11), at Place(0), workerId:1, result:4, cost time:0ms
working...(14,5), at Place(0), workerId:5, result:0, cost time:0ms
working...(14,6), at Place(0), workerId:5, result:0, cost time:0ms
working...(14,7), at Place(0), workerId:5, result:0, cost time:0ms
working...(1,9), at Place(0), workerId:1, result:8, cost time:0ms
working...(14,8), at Place(0), workerId:5, result:0, cost time:0ms
working...(11,13), at Place(0), workerId:3, result:2, cost time:0ms
working...(14,9), at Place(0), workerId:5, result:0, cost time:0ms
working...(14,10), at Place(0), workerId:5, result:0, cost time:0ms
working...(7,12), at Place(0), workerId:3, result:5, cost time:0ms
working...(10,13), at Place(0), workerId:6, result:3, cost time:0ms
working...(0,8), at Place(0), workerId:1, result:8, cost time:0ms
working...(14,11), at Place(0), workerId:5, result:0, cost time:0ms
working...(6,11), at Place(0), workerId:3, result:5, cost time:0ms
working...(14,12), at Place(0), workerId:5, result:0, cost time:0ms
working...(2,10), at Place(0), workerId:1, result:8, cost time:0ms
working...(9,13), at Place(0), workerId:6, result:4, cost time:0ms
working...(14,13), at Place(0), workerId:5, result:0, cost time:0ms
working...(0,9), at Place(0), workerId:6, result:9, cost time:0ms
working...(14,14), at Place(0), workerId:5, result:0, cost time:0ms
